seed,history_length,representation,split,horizon,signal,status,n_origins,n_forecast_samples,trajectory_rmse,endpoint_mae,mean_predicted_events,preprojection_invalid_state_rate,duration_clip_rate,zero_duration_displacement_projection_rate,postprojection_valid_rate,rollout_completion_rate,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,mean_input_raw_span,n_predictive_parameters,rollout_runtime_median_s,candidate_rmse_ratio_vs_control
228973438714350052,4,raw_ar,test,64,sine,ok,14,896,0.07205175830908027,0.12948691301187543,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.0093837,1.8949103748880052
228973438714350052,4,raw_matched,test,64,sine,ok,14,896,0.46376879163085327,0.9083820301890022,15.714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,1.0,28.0,28.0,224.0,28.0,87,0.00189545,0.29439588608082645
228973438714350052,4,vectorchain_absolute,test,64,sine,ok,14,896,0.1365334126887461,0.1665381401071572,18.785714285714285,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,43.142857142857146,63,0.0027062500000000003,0.9999869018146426
228973438714350052,4,vectorchain_cartesian,test,64,sine,ok,14,896,0.14106887683864408,0.17882161229954238,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,43.142857142857146,39,0.00275205,0.9678366157615715
228973438714350052,4,vectorchain_relational,test,64,sine,ok,14,896,0.13653162434879923,0.166539552053605,18.785714285714285,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,43.142857142857146,87,0.0027505,1.0
228973438714350052,4,fixed_relational,test,128,chirp,ok,14,1792,1.046597911035302,1.487376734818295,11.714285714285714,0.0,0.21428571428571427,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.001734,0.9156443920520791
228973438714350052,4,persistence,test,128,chirp,ok,14,1792,1.0058112971805544,1.2774967146566325,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5e-06,0.9527746513279295
228973438714350052,4,raw_ar,test,128,chirp,ok,14,1792,0.979436297056683,1.5904638600858376,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.0093874,0.9784316865249224
228973438714350052,4,raw_matched,test,128,chirp,ok,14,1792,5.65827053228704,7.561966405146124,20.571428571428573,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0020123,0.1693647383073342
228973438714350052,4,vectorchain_absolute,test,128,chirp,ok,14,1792,0.9583158018862252,1.415027284598653,18.857142857142858,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,51.642857142857146,63,0.00267425,0.9999955193128178
228973438714350052,4,vectorchain_cartesian,test,128,chirp,ok,14,1792,0.9824344197822487,1.449932938875951,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,51.642857142857146,39,0.0026991999999999997,0.9754457790529162
228973438714350052,4,vectorchain_relational,test,128,chirp,ok,14,1792,0.9583115079728952,1.415018427612705,18.857142857142858,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,51.642857142857146,87,0.0026984,1.0
228973438714350052,4,fixed_relational,test,128,first_order_response,ok,10,1280,1.2171856918793917,1.971327243848004,15.9,0.0,0.4,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.00233145,0.04940090671523758
228973438714350052,4,persistence,test,128,first_order_response,ok,10,1280,0.021081962623957885,0.019063433779038665,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5.5e-06,2.852204886812718
228973438714350052,4,raw_ar,test,128,first_order_response,ok,10,1280,0.03972879765812622,0.04749660847409265,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.009466249999999999,1.5135136315245774
228973438714350052,4,raw_matched,test,128,first_order_response,ok,10,1280,2.611168210253608,5.623113177406326,24.2,0.5,0.5,0.5,1.0,1.0,28.0,28.0,224.0,28.0,87,0.00283865,0.02302803648709236
228973438714350052,4,vectorchain_absolute,test,128,first_order_response,ok,10,1280,0.0601381916986553,0.07279787802555573,19.0,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,55.5,63,0.0026666,0.9998650628033476
228973438714350052,4,vectorchain_cartesian,test,128,first_order_response,ok,10,1280,0.03697880539830645,0.03948922144653512,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,55.5,39,0.00270435,1.6260686674970193
228973438714350052,4,vectorchain_relational,test,128,first_order_response,ok,10,1280,0.060130076819655744,0.07278319831866495,19.0,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,55.5,87,0.0027508000000000003,1.0
