representation,role,causal_scope,split,horizon,context_length,signal,n_seeds,rmse_mean,rmse_median,candidate_rmse_ratio_vs_control_mean,candidate_rmse_ratio_vs_control_median
moving_average_geometry,causal_control,strict_online,test,16,128,chirp,5,0.3163780114632536,0.317505130079968,1.1273194086715679,1.110604888001204
moving_average_geometry,causal_control,strict_online,test,16,128,first_order_response,5,0.04598744363070606,0.039870912264469614,0.36796803020033597,0.41567096536974196
moving_average_geometry,causal_control,strict_online,test,16,128,piecewise_linear,5,0.04157417357550457,0.03810137209430244,0.4360165407947611,0.44046942454216537
moving_average_geometry,causal_control,strict_online,test,16,128,ramp,5,0.042723521492242525,0.035179748364209444,0.363951081226617,0.39447011641744933
moving_average_geometry,causal_control,strict_online,test,16,128,regime_change,5,0.347241436664571,0.34084508039619504,1.120873033458162,1.123872884548696
moving_average_geometry,causal_control,strict_online,test,16,128,second_order_response,5,0.047781919884600885,0.04009819419500456,0.5933749674645594,0.6297786216429415
moving_average_geometry,causal_control,strict_online,test,16,128,sine,5,0.06225058459270957,0.04968095707258143,1.0260590311476099,0.9434155961668391
moving_average_geometry,causal_control,strict_online,validation,1,32,chirp,5,0.021954691017888633,0.023556223493662015,0.8530701214687311,0.9044313989871564
moving_average_geometry,causal_control,strict_online,validation,1,32,first_order_response,5,0.0135144577140472,0.012824531534604312,1.0399609162368633,1.0319610270937773
moving_average_geometry,causal_control,strict_online,validation,1,32,piecewise_linear,5,0.015818506958177925,0.016369970462532253,1.0340837040383188,1.0123435930625437
moving_average_geometry,causal_control,strict_online,validation,1,32,ramp,5,0.013808076269720238,0.013854302538542076,1.0327391723211068,1.0164430638076725
moving_average_geometry,causal_control,strict_online,validation,1,32,regime_change,5,0.03343266839702486,0.032964989663436174,0.7136585267270218,0.7535663071263062
moving_average_geometry,causal_control,strict_online,validation,1,32,second_order_response,5,0.01369482518824702,0.013902439652127197,1.0358824339712385,1.0486075511370188
